word	types	reference
vivum		[]
dei		[]
organum		[]
oder		[]
das		[]
lebendige		[]
orgelwerck		[]
gottes		[]
zeigete		[]
unter		[]
umständlicher		[]
erzehlung		[]
wie		[]
die		[]
orgeln		[]
erfunden		[]
und		[]
in		[]
die		[]
kirchen		[]
gebauet		[]
worden		[]
der		[]
christlichen		[]
gemeinde		[]
zu		[]
neustädtlein		[]
bey		[]
schneeberg		[]
domenica		[]
xvi		[]
post		[]
trinitatis		[]
war		[]
der		[]
24		[]
septembris		[]
1719		[]
bey		[]
veranlaster		[]
versetzung		[]
des		[]
neuen		[]
orgelwercks		[]
in		[]
ii	 bibel	['2Kor_4-13']
cor	 bibel	['2Kor_4-13']
iv	 bibel	['2Kor_4-13']
13	 bibel	['2Kor_4-13']
mit		[]
einfältigen		[]
worten		[]
m		[]
georg		[]
gottfried		[]
richter		[]
der		[]
zeit		[]
pfarr		[]
allda		[]
schneeberg		[]
gedruckt		[]
und		[]
zu		[]
finden		[]
bey		[]
christian		[]
heinrich		[]
kanngiessern		[]
dreyen		[]
bey		[]
hiesigen		[]
gebürge		[]
um		[]
vieler		[]
in		[]
re		[]
medica		[]
et		[]
metallica		[]
habenden		[]
meriten		[]
willen		[]
jn		[]
grossen		[]
ansehen		[]
lebenden		[]
männern		[]
herrn		[]
jmmanuel		[]
heinrich		[]
garmannen		[]
der		[]
medicin		[]
vornehmen		[]
licentiato		[]
und		[]
weit		[]
berühmten		[]
practico		[]
herrn		[]
johann		[]
matthaeo		[]
laurentio		[]
erbund		[]
gerichtsherrn		[]
auf		[]
niederstützengrün		[]
seiner		[]
königlichen		[]
majestät		[]
in		[]
pohlen		[]
und		[]
churfürstlichen		[]
durchlaucht		[]
zu		[]
sachsen		[]
hochbestalten		[]
zehendnern		[]
und		[]
austheilern		[]
herrn		[]
christian		[]
friedrich		[]
fischern		[]
advocato		[]
immatriculato		[]
und		[]
königlich		[]
polnischen		[]
und		[]
churfürstlich		[]
sächßischen		[]
hochverdienten		[]
bergmeistern		[]
und		[]
kobaldinspectori		[]
gnade		[]
und		[]
friede		[]
durch		[]
christum		[]
jch	 bibel	['Ps_39-3']
bin	 bibel	['Ps_39-3']
verstummet	 bibel	['Ps_39-3']
und	 bibel	['Ps_39-3']
stille	 bibel	['Ps_39-3']
und	 bibel	['Ps_39-3']
schweige	 bibel	['Ps_39-3']
der	 bibel	['Ps_39-3']
freuden	 bibel	['Ps_39-3']
und	 bibel	['Ps_39-3']
muß	 bibel	['Ps_39-3']
mein	 bibel	['Ps_39-3']
leid	 bibel	['Ps_39-3']
in	 bibel	['Ps_39-3']
mich	 bibel	['Ps_39-3']
fressen	 bibel	['Ps_39-3']
dahin		[]
ist		[]
es		[]
wohl		[]
ehe		[]
mit		[]
dem		[]
lieben		[]
david		[]
gekommen		[]
daß		[]
er		[]
mehr		[]
einen		[]
todten		[]
als		[]
lebendigen		[]
orgelwerck		[]
gegleichet		[]
und		[]
es		[]
das		[]
ansehen		[]
gehabt		[]
als		[]
wenn		[]
kein		[]
lebendiger		[]
wind		[]
mehr		[]
in		[]
ihm		[]
gehe		[]
und		[]
keine		[]
lebendige		[]
stimme		[]
weiter		[]
von		[]
ihm		[]
zu		[]
hören		[]
sey		[]
nach		[]
ps		[]
xxxix		[]
3		[]
es		[]
wäre		[]
eine		[]
vergebliche		[]
bemühung		[]
der		[]
eigentlichen		[]
ursach		[]
sothanes		[]
stillschweigens		[]
nachzuforschen		[]
und		[]
was		[]
ihn		[]
dazu		[]
veranlasset		[]
oder		[]
dem		[]
wiedrigen		[]
zufall		[]
dafür		[]
er		[]
erstummet		[]
neugierig		[]
nachzufragen		[]
als		[]
welche		[]
wir		[]
nimmermehr		[]
juste		[]
treffen		[]
würden		[]
so		[]
daß		[]
wir		[]
dahin		[]
gestellet		[]
seyn		[]
lassen		[]
wollen		[]
ob		[]
es		[]
theodoretus		[]
errathen		[]
welcher		[]
dafür		[]
gehalten		[]
daß		[]
gedachter		[]
mächtige		[]
könig		[]
auf		[]
seiner		[]
flucht		[]
für		[]
absolon		[]
stockstille		[]
zu		[]
des		[]
simei		[]
des		[]
majestätschänders		[]
abscheulichen		[]
schmähungen		[]
gewesen		[]
und		[]
kein		[]
wort		[]
darauf		[]
gesagt		[]
weil		[]
ihm		[]
sein		[]
grober		[]
sündenfall		[]
in		[]
ehebruch		[]
eben		[]
in		[]
die		[]
gedancken		[]
gekommen		[]
da		[]
er		[]
davids		[]
rede		[]
also		[]
umschrieben		[]
conviciis	 quelle	['E080528']
affectus	 quelle	['E080528']
peccati	 quelle	['E080528']
memini	 quelle	['E080528']
&amp	 quelle	['E080528']
stimulis	 quelle	['E080528']
a	 quelle	['E080528']
peccato	 quelle	['E080528']
emissis	 quelle	['E080528']
configebar	 quelle	['E080528']
reputans	 quelle	['E080528']
hanc	 quelle	['E080528']
esse	 quelle	['E080528']
