word	types	reference
die		[]
billige		[]
orgelfreude		[]
einer		[]
evangelischen		[]
gemeine		[]
bey		[]
einem		[]
neuen		[]
orgelwerck		[]
wurde		[]
bey		[]
einweyhung		[]
einer		[]
neuen		[]
orgel		[]
in		[]
der		[]
kirchen		[]
zu		[]
st		[]
salvator		[]
in		[]
dantzig		[]
am		[]
xiii		[]
sonntage		[]
nach		[]
trinitatis		[]
den		[]
31		[]
augusti		[]
mdccxxxiix		[]
nach		[]
anleitung		[]
des		[]
gewöhnlichen		[]
sonntagsevangelii		[]
aus		[]
luc	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
x	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
23–37	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
in	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
volckreicher	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
versammlung	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
behauptet	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
und	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
auf	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
einiger	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
freunde	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
verlangen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
dem	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
drucke	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
überlassen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
von	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
heinrich	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
keltz	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
diener	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
des	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
göttlichen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
wortes	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
an	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
obgemeldter	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
kirchen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
dantzig	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
mit	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
schreiberischen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
verlag	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
und	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
schriften	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
1739	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
denen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
wohledlen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
vesten	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
wohlweisen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
und	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
wohlgelahrten	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herren	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herrn	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
"id""e011747"""""""	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
daniel	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
schumann	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
assessori	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
e	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
e	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
gerichts	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
der	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
rechtenstadt	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herrn	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
siegmund	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
albrecht	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
rosenberg	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
qvartirmeistern	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
des	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
hohenquartirs	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
auch	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
vorstehern	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
an	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
der	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
oberpfarrkirchen	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
zu	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
st	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
marien	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herrn	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
emanuel	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
ernst	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
schmidt	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herrn	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
johann	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
friedrich	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
schumann	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
herrn	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
johann	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
ernst	 bibel	['Lk_10-23.24.25.26.27.28.29.30.31.32.33.34.35.36.37']
